station_number,station_name,total_departures,active_days,weekday_departures,weekend_departures,morning_peak_departures,evening_peak_departures,avg_departure_duration_ms,avg_daily_departures,weekend_departure_share,morning_peak_departure_share,evening_peak_departure_share,total_arrivals,active_days_arr,avg_daily_arrivals,net_flow,imbalance_ratio,cluster,recommended_action,pca1,pca2
1028.0,"William IV Street, Strand",1719.0,31.0,1227.0,492.0,157.0,465.0,1369403.410122164,55.45161290322581,0.2862129144851658,0.09133216986620128,0.2705061082024433,1843,30,61.43333333333333,124.0,0.034802133033960146,1,High-priority core station for monitoring and capacity review,1.7886667777667673,0.06558669115836753
1029.0,"Windsor Terrace, Hoxton",967.0,30.0,747.0,220.0,243.0,236.0,849424.265770424,32.233333333333334,0.22750775594622544,0.2512926577042399,0.24405377456049637,833,30,27.766666666666666,-134.0,0.07440310938367574,2,Standard commuter-period rebalancing,-0.5446674270224215,-0.6378896150057218
1030.0,"Lisson Grove, St. John's Wood",434.0,30.0,307.0,127.0,133.0,73.0,1076355.17281106,14.466666666666667,0.2926267281105991,0.3064516129032258,0.16820276497695852,372,30,12.4,-62.0,0.0768277571251549,2,Standard commuter-period rebalancing,-2.0800251208719236,-0.040423341235681934
1031.0,"Nesham Street, Wapping",1537.0,30.0,1025.0,512.0,314.0,385.0,815118.9095640859,51.233333333333334,0.33311646063760575,0.20429407937540664,0.2504879635653871,1529,30,50.96666666666667,-8.0,0.0026084121291164004,2,Standard commuter-period rebalancing,0.7732871234618365,0.8465381994767697
1032.0,"New Inn Yard, Shoreditch",1124.0,31.0,825.0,299.0,120.0,351.0,1143708.0097864768,36.25806451612903,0.26601423487544484,0.10676156583629894,0.3122775800711744,1135,30,37.833333333333336,11.0,0.0048672566371681415,4,Prioritise evening dock relief and destination-side balancing,0.8776410713266873,-0.8042211332620803
1033.0,"Paddington Street, Marylebone",933.0,30.0,580.0,353.0,122.0,256.0,1014124.8499464095,31.1,0.3783494105037513,0.1307609860664523,0.27438370846730975,944,30,31.466666666666665,11.0,0.005857294994675187,2,Standard commuter-period rebalancing,0.18244818458082948,0.09880080706727998
1034.0,"Bruton Street, Mayfair",568.0,30.0,430.0,138.0,4.0,327.0,1438999.1179577464,18.933333333333334,0.24295774647887325,0.007042253521126761,0.5757042253521126,585,30,19.5,17.0,0.014731369150779897,4,Prioritise evening dock relief and destination-side balancing,1.7622925406163559,-3.500312038765905
1035.0,"Boston Place, Marylebone",1545.0,30.0,1330.0,215.0,620.0,295.0,1158848.7391585761,51.5,0.13915857605177995,0.40129449838187703,0.19093851132686085,1156,30,38.53333333333333,-389.0,0.14396743153219838,2,Standard commuter-period rebalancing,-0.736953186696325,-0.15136446505268766
1036.0,"Crawford Street, Marylebone",1126.0,31.0,757.0,369.0,196.0,277.0,1078400.1740674956,36.32258064516129,0.327708703374778,0.17406749555950266,0.24600355239786856,1135,31,36.61290322580645,9.0,0.003978779840848806,2,Standard commuter-period rebalancing,0.15101378459614992,0.2646479764004281
1037.0,"Park Lane , Hyde Park",2689.0,30.0,1373.0,1316.0,79.0,868.0,3550372.997024916,89.63333333333334,0.48940126441056153,0.029378951283004835,0.32279657865377465,2709,31,87.38709677419355,20.0,0.003704389701796629,1,High-priority core station for monitoring and capacity review,3.77033732164351,2.138060173239867
